[kapil@archlinux ~]$ pacman -Q
qt6-declarative 6.10.1-3
qt6-multimedia 6.10.1-1
qt6-multimedia-ffmpeg 6.10.1-1
qt6-networkauth 6.10.1-1
qt6-positioning 6.10.1-1
qt6-scxml 6.10.1-1
qt6-shadertools 6.10.1-1
qt6-speech 6.10.1-1
qt6-svg 6.10.1-1
qt6-translations 6.10.1-1
qt6-wayland 6.10.1-1
qt6-webchannel 6.10.1-1
qt6-webengine 6.10.1-2
raptor 2.0.16-9
rasqal 1:0.9.33-7
rav1e 0.8.1-2
re2 2:2025.11.05-1
readline 8.3.003-1
redland 1:1.0.17-9
ripgrep 15.1.0-1
ripgrep-all 0.10.10-1
rnnoise 1:0.2-1
rtkit 0.14-1
rtmpdump 1:2.6-1
rubberband 4.0.0-1
runc 1.4.0-1
sbc 2.1-1
sdbus-cpp 2.2.1-1
sddm 0.21.0-6
sdl2-compat 2.32.62-1
sdl2_image 2.8.8-1
sdl2_mixer 2.8.1-2
sdl2_ttf 2.24.0-2
sdl3 3.4.0-1
seatd 0.9.1-1
sed 4.9-3
semver 7.7.3-1
serd 0.32.6-1
shaderc 2025.5-1
shadow 4.18.0-1
shared-mime-info 2.4-2
shiboken6 6.10.1-2
signon-kwallet-extension 25.12.1-1
signon-plugin-oauth2 0.25-3
signon-ui 0.17+20231016-3
signond 8.61-3
simde 0.8.2-1
simdjson 1:4.2.4-1
slang 2.3.3-4
slurp 1.5.0-1
smartmontools 7.5-1
smbclient 2:4.23.4-2
snappy 1.2.2-2
solid 6.22.0-1
sonnet 6.22.0-1
sord 0.16.20-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.0-1
spandsp 0.0.6-6
spdlog 1.17.0-1
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.335.0-1
sqlite 3.51.2-1
sratom 0.6.20-1
srt 1.5.4-1
sudo 1.9.17.p2-2
suil 0.10.24-1
svt-av1 3.1.2-1
svt-hevc 1.5.1-3
syndication 6.22.0-1
syntax-highlighting 6.22.0-1
systemd 259-2
systemd-libs 259-2
systemd-sysvcompat 259-2
taglib 2.1.1-1
talloc 2.4.3-2
tar 1.35-2
tdb 1.4.14-2
tesseract 5.5.2-1
tesseract-data-afr 2:4.1.0-4
tesseract-data-osd 2:4.1.0-4
tevent 1:0.17.1-2
texinfo 7.2-1
threadweaver 6.22.0-1
tinysparql 3.10.1-2
tinyxml2 11.0.0-1
tomlplusplus 3.4.0-1
tpm2-tss 4.1.3-1
tree-sitter 0.25.10-3
tree-sitter-c 0.24.1-1
tree-sitter-lua 0.4.0-1
tree-sitter-markdown 0.5.1-1
tree-sitter-query 0.7.0-1
tree-sitter-vim 0.7.0-1
tree-sitter-vimdoc 4.0.0-1
tslib 1.24-1
ttf-cascadia-code-nerd 3.4.0-1
ttf-liberation 2.1.5-2
